"","SchoolNo","z_s10_ELA","z_s10_math","z_s09_ELA","z_s09_math","z_f08_ELA","z_f08_math","z_05_ELA","z_05_math","z_06_ELA","z_06_math","z_07_ELA","z_07_math","avg_teach_salary_08","Attendance_0809","Attendance_0708","LATCOD08","LONCOD08","FTE08","MEMBER08","PUPTCH08","ulocal08_dum12","urban08","suburb08","TITLEI08","STITLI08","CHARTR08","study","trt","male","white","sped","frpl","lep","county.pop"
"353","2125",20.1792774200439,16.0538368225098,18.5538139343262,15.604700088501,19.4139137268066,17.5803108215332,19.2912902832031,18.5609321594238,20.0389766693115,18.2556209564209,20.3440208435059,18.3634567260742,49132,95.75,95.14,39.4348,-85.0001,30.8,535,17.4,0,0,0,0,0,0,1,1,0.530434787273407,0.9653679728508,0.155844151973724,0.419913411140442,0,17240
"354","2127",19.6012725830078,16.935604095459,18.5909481048584,16.7151145935059,21.1915512084961,18.4358615875244,20.9447345733643,18.5389099121094,20.8362102508545,18.0140590667725,21.4306335449219,18.4043121337891,49132,96.27,96.27,39.3908,-84.8735,25.1,474,18.9,0,0,0,0,0,0,0,0,0.511976063251495,0.997005999088287,0.146706581115723,0.335329353809357,0,17240
"355","2139",20.9511318206787,15.8511838912964,19.7050533294678,16.2804622650146,19.6304969787598,17.7670822143555,19.0554828643799,18.2916011810303,19.6339435577393,17.7977809906006,20.2794189453125,17.2227687835693,46824,97.23,96.85,41.0427,-86.0263,25,452,18.1,0,0,0,1,1,0,0,0,0.46613547205925,0.860557794570923,0.167330682277679,0.470119535923004,0.043824702501297,17240
"356","2157",20.2763614654541,17.0535640716553,19.091194152832,17.0367679595947,21.0607166290283,18.785343170166,20.9840888977051,19.345235824585,21.3728713989258,18.8511638641357,22.0548763275146,19.0497817993164,41688,96.02,96.29,40.9472,-86.2627,25,431,17.2,0,0,0,1,0,0,0,0,0.558394134044647,0.970802903175354,0.142335772514343,0.350364953279495,0.00364963500760496,17240
"357","2159",19.0181980133057,16.0699043273926,17.2275218963623,15.5853309631348,21.4364128112793,18.1752471923828,20.1326217651367,16.7002410888672,19.9466552734375,16.5464134216309,20.7382125854492,17.7496356964111,41688,94.27,94.48,40.9472,-86.2627,24.3,354,14.6,0,0,0,0,0,0,0,0,0.527999997138977,0.976000010967255,0.119999997317791,0.439999997615814,0.00800000037997961,23087
"358","2177",18.4362297058105,17.2829284667969,17.3093490600586,17.4091053009033,22.595422744751,19.9994411468506,21.058988571167,18.5736427307129,21.5618267059326,18.5572624206543,22.4231872558594,19.5913009643555,49757,96.71,97.43,41.0551,-86.2241,25,443,17.7,0,0,0,1,0,0,0,0,0.572727262973785,0.927272737026215,0.109090909361839,0.395454555749893,0.00681818183511496,23087
"359","2185",21.1190700531006,16.8741703033447,20.007043838501,17.0576038360596,20.0569896697998,18.7990055084229,20.1684684753418,19.8879222869873,20.4404335021973,18.793306350708,21.1103477478027,18.699405670166,49757,96.79,96.62,41.0739,-86.2229,21,416,19.8,0,0,0,1,1,0,0,0,0.498789340257645,0.895883798599243,0.138014525175095,0.455205798149109,0.00484261522069573,23087
"360","2189",20.5210342407227,17.5614471435547,19.521577835083,17.1627311706543,20.9656066894531,18.8217468261719,21.0053482055664,19.6203575134277,21.3360748291016,19.0431499481201,22.2711563110352,19.0651168823242,42526,97.51,97.12,38.2524,-87.3931,8.9,117,13.1,0,0,0,0,0,0,0,0,0.571428596973419,0.985714256763458,0.185714289546013,0.28571429848671,0,23087
"361","2194",19.2602500915527,16.4787406921387,17.7774925231934,16.3790340423584,22.1443328857422,18.7143096923828,20.4478626251221,16.6019744873047,20.1757659912109,16.3803367614746,21.1300373077393,17.2918548583984,42526,95.81,95.77,38.3298,-87.3508,10.6,146,13.8,0,0,0,0,0,0,0,0,0.506944417953491,0.979166686534882,0.0902777761220932,0.291666656732559,0,20836
"362","2201",20.6544036865234,18.1274394989014,18.7986373901367,17.2018127441406,20.9106197357178,19.1500244140625,20.6863040924072,19.9498424530029,20.804931640625,19.3476371765137,21.4865760803223,19.0910835266113,42526,97.27,97.37,38.3326,-87.4466,9.5,153,16.1,0,0,0,1,1,0,0,0,0.610389590263367,0.987012982368469,0.28571429848671,0.415584415197372,0,20836
