"","SchoolNo","z_s09_ELA","z_s09_math","Attendance_0809","FTE08","MEMBER08","PUPTCH08","county.pop","TITLEI08","STITLI08","male","white","sped","frpl","lep","study","trt","N.EXPT","prob"
"1340",8167,-1.26637685634369,0.503351382042962,0.525983315714838,0.106931081905545,-0.149835804362658,-0.633645842931349,-0.800342826004318,-1.84015427297776,-1.00099113547736,0.958221108557086,0.703702310066746,0.749490129940322,-0.805939558387134,-0.444495455126744,0,0,1,0.0237970556175488
"1341",8206,-1.28363463757549,0.263240557276626,-0.113404976925707,-0.611634352020371,-0.576212995998912,-0.0317571248413327,-0.800342826004318,0.54307375891987,-1.00099113547736,1.14223735382421,0.721140608476697,0.253973205139333,-0.442826794604666,-0.558738239841524,0,0,1,0.03124921676032
"1342",8209,1.17503549158458,-0.463360753725103,0.245549854030385,0.158875571105009,0.140662941587317,-0.0317571248413327,-0.210054152022973,0.54307375891987,-1.00099113547736,0.517018132477807,0.736004859665975,0.215098918688551,-0.107663916484539,-0.411667075836927,0,0,1,0.039513186006163
"1343",8213,1.24015130804221,0.99399462384844,-0.562098515620838,-0.957930946683463,-1.12909770603274,-1.05850846746548,-0.210054152022973,0.54307375891987,0.998349997916735,-0.29163864808121,0.772767066961896,-0.796360480362851,-0.755518984664085,-0.558738239841524,0,0,1,0.00635616623494116
"1344",8225,1.58559695552788,1.0606726408009,1.38971837770296,0.0116995183731951,0.0516391323445825,0.109863750003376,-0.210054152022973,-1.84015427297776,-1.00099113547736,-0.34110150558559,0.625013832719653,0.40394932950273,-0.462397126985832,-0.405807661785044,0,0,1,0.000689895698639521
"1345",8229,1.45118700322551,0.7111672890746,1.27754499302917,1.9942475228194,2.82074814615805,1.41985684231694,-0.210054152022973,-1.84015427297776,-1.00099113547736,0.353955946442227,0.556072099313336,-0.557724551063107,-1.53126863746988,-0.430786329540814,0,0,1,0.00536104258865386
"1346",8251,0.0491909580102926,-1.69407547207999,0.582070008051741,-0.273995172223856,-1.04475936043436,-2.40390677849022,-0.210054152022973,0.54307375891987,0.998349997916735,0.949888621378579,-1.85506244702371,3.16018853727227,2.09491979911106,-0.558738239841524,0,0,1,0.0031919620419225
"1347",8261,-0.0227048533970639,-1.74252321399939,-0.236795700066865,0.340681283303132,-0.281028786404582,-1.41256065457725,-0.210054152022973,0.54307375891987,0.998349997916735,-1.533165917541,-0.982488215086536,1.02137340506365,1.73727021109726,-0.158888511214469,0,0,1,0.0022975512684108
"1348",8265,-0.202460731242701,-1.05937989985236,-0.438707792479679,0.158875571105009,-0.758946078128735,-2.29769112235669,-0.210054152022973,0.54307375891987,0.998349997916735,0.108853542062122,-0.0931777282867553,1.1441592831828,1.94675931240122,-0.558738239841524,0,0,1,0.088967508754087
"1349",8281,-0.666650832110433,-2.59121553875802,-0.0348836076540675,0.591746314433874,-0.665236805241646,-2.65174330946846,-0.210054152022973,0.54307375891987,0.998349997916735,1.14089201974867,-2.02195814737383,1.89976576403573,2.26867644304624,-0.394697323394138,0,0,1,6.05493784722887e-07
"1350",8285,-0.3743888355104,-1.64971502885982,-0.449925130947047,0.860126175297771,0.159404796164735,-1.27093977973254,-0.210054152022973,0.54307375891987,0.998349997916735,0.523263797822978,-0.0518213696079907,1.11165129736649,2.12253740003582,-0.459933675557681,0,0,1,0.00325872598978994
"1351",8289,-0.0929287683773069,-1.23402526937008,0.840068792801427,0.184847815704741,-0.0654974587642784,-0.598240624220172,-0.210054152022973,0.54307375891987,0.998349997916735,0.407055942000093,-1.04690787942842,1.20733690221088,1.43486955793266,-0.33717648565712,0,0,1,0.0446711310456071
"1352",8291,-2.21962438491148,-1.07269447119919,-1.62774567002175,0.712950122565957,-0.238859613605392,-1.87282849782256,-0.210054152022973,0.54307375891987,0.998349997916735,-1.16595335558528,-0.268202593624152,1.0455691330809,1.83659049614636,-0.438876967871457,0,0,1,5.26413007487003e-06
"1353",8293,0.0475332783895136,-1.07503374953063,0.907372823605698,0.435912846835483,0.0750664505663547,-0.739861499064882,-0.210054152022973,0.54307375891987,0.998349997916735,0.507627434227767,-0.155865730193035,1.39710908220828,1.34682083433466,-0.503823255754688,0,0,1,0.0898300388293772
"1354",8301,-2.73166328008093,-2.31210958804533,-0.135839653860458,-0.317282246556742,-1.3586854246061,-3.28903724626966,-0.210054152022973,0.54307375891987,0.998349997916735,0.051325340174189,-1.996300384286,0.77202200624203,1.84740429094114,-0.417354904917783,0,0,1,7.50458303769103e-12
"1355",8309,0.460972223938637,-1.31340943069052,1.22145830069229,-0.00561531135995975,0.00478449590103816,0.0390533125810219,-0.210054152022973,0.54307375891987,0.998349997916735,1.05055335458179,-0.598147767278158,1.05566503369609,1.06725008141873,-0.443466243211853,0,0,1,0.0203332849801026
"1356",8313,-2.20923261030777,-1.26686744946675,0.0772897770197232,0.115588496772123,-1.03538843314565,-2.93498505915788,-0.210054152022973,0.54307375891987,0.998349997916735,0.484315710329223,-0.342797110153609,1.02137340506365,1.76550579700805,-0.45877580768476,0,0,1,2.32650659341931e-06
"1357",8317,1.05405615624382,-0.220288273823577,1.10928491601851,1.38822848215899,1.26048875258803,-0.0671623435525106,-0.210054152022973,0.54307375891987,0.998349997916735,-0.391493072806568,-0.0804509821027401,0.153970972063654,-0.0720712125831878,-0.250007078119723,0,0,1,0.0895543181328359
"1358",8318,-1.56400143230007,0.0500979632556668,0.357723238704176,0.314709038703401,0.0844373778550636,-0.492024968086639,-0.210054152022973,0.54307375891987,0.998349997916735,-1.3036192159122,0.535502886848433,-0.536414958848519,0.297878430848663,-0.533300484871277,0,0,1,0.00741222246900458
"1359",8321,0.303717285507814,-0.955819618895983,0.312853884834657,0.141560741371855,0.229686750830051,0.251484624848086,-0.210054152022973,0.54307375891987,0.998349997916735,2.2122811491408,-0.403612771027816,0.0663549313599532,0.478300157299858,-0.0211251437129938,0,0,1,0.117985222353828
"1360",8323,-1.36180716898768,-0.333550121474616,0.458679284910583,0.964015153696698,1.46196368929527,1.10120987391634,-0.210054152022973,0.54307375891987,-1.00099113547736,-0.149298158846056,0.347026853649625,-0.501865597848109,-0.308273152479424,-0.412041776707051,0,0,1,0.0192372050890431
"1361",8325,1.10109814678503,-0.019938742310283,1.32241434689869,2.06350684175202,2.11792859950489,0.286889843559264,-0.210054152022973,0.54307375891987,-1.00099113547736,0.21565145943367,0.499188691965228,0.320908427262567,-0.443237303585582,-0.42115553764637,0,0,1,0.0812444552003245
"1362",8329,-0.283687032659442,-1.1990348162369,0.32407122330204,-0.429828639822248,-0.763631541773089,-1.20012934231019,-0.210054152022973,0.54307375891987,0.998349997916735,-0.83143285566973,-1.11544219592428,1.24991304481605,1.48928912731041,-0.373300681082179,0,0,1,0.0458191861485053
"1363",8339,-2.25709135637392,-1.56133001128067,0.469896623377951,0.184847815704741,-0.365367132002962,-1.3417502171549,-0.210054152022973,0.54307375891987,0.998349997916735,-1.78635142649047,-0.862370959383521,0.335987067229076,1.5944973686578,-0.40154916327816,0,0,1,2.86852714705115e-07
"1364",8341,-1.14450328388337,-0.0642777242613916,1.38971837770296,0.920728079363812,1.41042358920737,1.10120987391634,-0.210054152022973,-1.84015427297776,-1.00099113547736,-0.0363122967332298,0.419826171846589,-0.906272056268261,-0.797825644403875,-0.394275624043165,0,0,1,0.0673614830052541
"1365",8345,-1.15932146114501,0.0904279801397412,0.884938146670946,-0.161448778958351,-0.093610240630405,0.180674187425731,-0.210054152022973,-1.84015427297776,-1.00099113547736,-0.264706806307228,0.472210338071978,-0.939481675673813,-0.559948682457267,-0.531043020568474,0,0,1,0.062716908545273
"1366",8349,-1.48382433119216,-0.118388022031639,0.772764761997155,1.10253379156194,1.16677947970094,0.251484624848086,-0.210054152022973,0.54307375891987,0.998349997916735,-0.394812747538633,-0.300538654192004,-0.278544908902982,-0.106561102754568,-0.115691425748258,0,0,1,0.0117571478657034
